icao;iata;nome;state;country;continent;coordinates
LPAZ;SMA;Santa Maria;;PORTUGAL;EUROPA;-25.17060089111328, 36.97140121459961
SBSO;SMT;Adolino Bedin Regional;MT;BRASIL;AMÉRICA DO SUL;-55.672341, -12.479177
EINN;SNN;Shannon;;IRLANDA;EUROPA;-8.92482, 52.702
SDCO;SOD;Sorocaba;SP;BRASIL;AMÉRICA DO SUL;-47.490002, -23.478001
LBSF;SOF;Sofia;;BULGARIA;EUROPA;23.411436080932617, 42.696693420410156
SSZR;SRA;Santa Rosa;RS;BRASIL;AMÉRICA DO SUL;-54.520401, -27.9067
SBSV;SSA;Deputado Luiz Eduardo Magalhães International;BA;BRASIL;AMÉRICA DO SUL;-38.3224983215, -12.9086112976
KSTL;STL;St Louis Lambert International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-90.370003, 38.748697
SBSN;STM;Maestro Wilson Fonseca;PA;BRASIL;AMÉRICA DO SUL;-54.785831451416016, -2.4247219562530518
EGSS;STN;London Stansted;;REINO UNIDO;EUROPA;0.234999999404, 51.8849983215
KSUU;SUU;Travis Air Force Base;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-121.92700195312, 38.262699127197
UUEE;SVO;Sheremetyevo International;;RÚSSIA;EUROPA;37.4146, 55.972599
LEZL;SVQ;Sevilla;;ESPANHA;EUROPA;-5.8931097984313965, 37.417999267578125
USSS;SVX;Koltsovo;;RÚSSIA;EUROPA;60.802700042725, 56.743099212646
EDDB;SXF;Berlin-Schönefeld;;ALEMANHA;EUROPA;13.5225, 52.380001
SWFX;SXO;São Félix do Araguaia;MT;BRASIL;AMÉRICA DO SUL;-50.68960189819336, -11.632399559020996
YSSY;SYD;Sydney Kingsford Smith International;;AUSTRÁLIA;OCEANIA;151.177001953125, -33.94609832763672
OISS;SYZ;Shiraz Shahid Dastghaib International;;IRA;ÁSIA;52.589802, 29.5392
TTCP;TAB;Tobago-Crown Point;;TRINIDAD E TOBAGO;AMÉRICA CENTRAL;-60.83219909667969, 11.149700164794922
ZSQD;TAO;Liuting;;CHINA;ÁSIA;120.374000549, 36.2661018372
UTTT;TAS;Tashkent International;;UZBEQUISTÁO;ÁSIA;69.2811965942, 41.257900238
SBTT;TBT;Tabatinga;AM;BRASIL;AMÉRICA DO SUL;-69.93579864502, -4.2556700706482
SBTL;TEC;Telêmaco Borba;PR;BRASIL;AMÉRICA DO SUL;-50.6516, -24.317801
LPLA;TER;Lajes;;PORTUGAL;EUROPA;-27.090799, 38.761799
