airport_iata,airport_icao,lat,lon,name,city,country
ABS,HEBL,22.3722,31.6125,Abu Simbel Airport,Abu Simbel,Egypt
SSH,HESH,27.975,34.3897,Ras Nasrani Airport,Al Arish,Egypt
ALY,HEAX,31.1845,29.9491,An-Nuzhah Airport,Alexandria,Egypt
ASW,HESN,23.965,32.8217,Aswan Airport,Aswan,Egypt
ATZ,HEAT,27.0411,31.0114,Asyut Airport,Asyut,Egypt
HRG,HEGN,27.1858,33.7981,Hurghada Airport,Bor Safajah,Egypt
CAI,HECA,30.1206,31.4078,Cairo International Airport,Cairo,Egypt
SAL,MSLP,13.44,-89.0558,El Salvador International Airport,San Luis,El Salvador
SSG,FGSL,3.7472,8.7083,Malabo Airport,Malabo,Equatorial Guinea
ASM,HHAS,15.2906,38.9103,Yohannes Iv International Airport,Asmara,Eritrea
KDL,EEKA,59.0013,22.8181,Kardla East Airport,Kerdlya,Estonia
URE,EEKE,58.2432,22.5041,Kuressarre Airport,Kingissepa,Estonia
TLL,EETN,59.4121,24.8297,Ulemiste Airport,Tallinn,Estonia
ADD,HAAB,8.9783,38.8011,Bole International Airport,Addis Ababa,Ethiopia
AMH,HAAM,6.01327,37.5405,Ethiopia,Arba Mintch,Ethiopia
ASO,HASO,10.0611,34.5344,Ethiopia,Asosa,Ethiopia
ASA,HHSB,31.4124,-97.0528,Assab,Assab,Ethiopia
AXU,HAAX,14.147,38.7726,Axum,Axum,Ethiopia
DIR,HADR,9.6244,41.8536,Aba Tenna Dejazmatch Yilma Airport,Dire Dawa,Ethiopia
JIJ,HAJJ,9.34587,42.7955,Jijiga,Jijiga,Ethiopia
JIM,HAJM,32.3834,-81.8349,,Jimma,Ethiopia
ABK,HAKD,6.73719,44.2797,Kabri Dar,Kabri Dar,Ethiopia
MPN,EGYP,-51.8222,-58.4417,Mount Pleasant Airport,Mount Pleasant,Falkland Islands
FAE,EKVG,62.0625,-7.2708,Vagar Airport,Faroe Islands,Faroe Islands
KXF,NFNO,-17.3167,179.383,Koro Island,Koro Island,Fiji
MNF,KMNF,-17.6611,177.119,Mana Island Airstrip,Mana Island,Fiji
NAN,NFFN,-17.7558,177.446,Nadi International Airport,Nadi,Fiji
HEL,EFHK,60.3243,24.9688,Helsinki Vantaa Airport,Vantaa,Finland
QXB,LFMA,43.5048,5.36794,Aix Les Milles Airport,Aix-les-milles,France
AJA,LFKJ,41.9204,8.79778,Campo Dell Oro Airport,Ajaccio,France
BIQ,LFBZ,43.472,-1.53137,Anglet Airport,Anglet,France
CFE,LFLC,45.7896,3.16013,Aulnat Airport,Aulnat,France
AUR,LFLW,44.8984,2.41982,Aurillac Airport,Aurillac,France
AVN,LFMV,43.9056,4.89951,Avignon-Caumont Airport,Avignon,France
MLH,LFSB,47.5998,7.53134,Bale Mulhouse Airport,Basel Mulhouse Freiburg,France
BVA,LFOB,49.4565,2.11552,Beauvais-Tille Airport,Beauvais,France
EGC,LFBE,44.8227,0.51524,Bergerac-Roumaniere Airport,Bergerac,France
TLS,LFBO,43.6294,1.3747,Blagnac Airport,Blagnac,France
BIA,LFKB,42.5497,9.48341,Poretta Airport,Borgo,France
NTE,LFRS,47.1573,-1.60205,Chateau Bougon Airport,Bouguenais,France
CLY,LFKC,42.5295,8.79677,Ste Catherine Airport,Calenzana,France
CCF,LFMK,43.2153,2.30989,Salvaza Airport,Carcassonne,France
CFR,LFRK,49.1825,-0.45906,Carpiquet Airport,Carpiquet,France
ANG,LFBU,45.7274,0.21835,Brie Champniers Airport,Champniers,France
LYS,LFLL,45.7198,5.08245,Lyon Airport,Colombier,France
SXB,LFST,48.5427,7.63466,Entzheim Airport,Entzheim,France
FSC,LFKF,41.5022,9.0968,Sud Corse Airport,Figari,France
BES,LFRB,48.4458,-4.41511,Guipavas Airport,Guipavas,France
LDE,LFBT,43.1857,0.00346,Ossun Airport,Juillan,France
CMF,LFLB,45.6375,5.88291,Aix les Bains Airport,La Motte,France
DCM,LFCK,43.5538,2.28923,Mazamet Airport,Labruguière,France
AGF,LFBA,44.1736,0.59223,La Garenne Airport,Laplume,France
LEH,LFOH,40.3897,-111.847,,Le Havre,France
CDG,LFPG,49.0175,2.5564,Charles de Gaulle International Airport,Le Mesnil-Amelot,France
PUF,LFBP,43.3823,-0.4166,Pont Long Uzein Airport,Lescar,France
